sector_id,zona_altitud,centro_lat,centro_lon,altitud_promedio,altitud_minima,altitud_maxima,ubicacion_id
-177838_-631722,BAJA,-17.783823,-63.172257,437.5,437.5,437.5,3797
-177838_-631947,BAJA,-17.783806,-63.194711,436.1,436.1,436.1,3798
-177840_-631713,BAJA,-17.784011,-63.171352,437.5,437.5,437.5,3799
-177840_-631716,BAJA,-17.784035,-63.171663,437.5,437.5,437.5,3800
-177840_-631721,BAJA,-17.784083,-63.172124,437.5,437.5,437.5,3801
-177840_-631723,BAJA,-17.784089,-63.172357,438.1,438.1,438.1,3802
-177840_-631771,BAJA,-17.784043,-63.17717,440.6,440.6,440.6,3803
-177840_-631946,BAJA,-17.784037,-63.194692,436.1,436.1,436.1,3804
-177841_-631645,BAJA,-17.78415,-63.164542,434.8,434.8,434.8,3805
-177841_-631726,BAJA,-17.784133,-63.172669,437.5,437.5,437.5,3806
-177841_-631732,BAJA,-17.784179,-63.173286,437.5,437.5,437.5,3807
-177842_-631277,BAJA,-17.784258,-63.127742,423.1,423.1,423.1,3808
-177842_-631643,BAJA,-17.784276,-63.164377,434.9,434.9,434.9,3809
-177842_-631709,BAJA,-17.784298,-63.17096,437.6,437.6,437.6,3810
-177842_-631721,BAJA,-17.784255,-63.172165,437.9,437.9,437.9,3811
-177842_-631740,BAJA,-17.784251,-63.174026,438.4,438.4,438.4,3812
-177842_-631949,BAJA,-17.784267,-63.194944,435.7,435.7,435.7,3813
-177843_-631476,BAJA,-17.784382,-63.147601,434.4,434.4,434.4,3814
-177843_-631721,BAJA,-17.784334,-63.172194,438.1,438.1,438.1,3815
-177843_-631748,BAJA,-17.784307,-63.174878,438.4,438.4,438.4,3816
-177843_-631758,BAJA,-17.784371,-63.175822,438.4,438.4,438.4,3817
-177843_-631762,BAJA,-17.784399,-63.176241,439.9,439.9,439.9,3818
-177843_-631763,BAJA,-17.784399,-63.176347,440.2,440.2,440.2,3819
-177843_-631890,BAJA,-17.784303,-63.189073,436.1,436.1,436.1,3820
-177844_-631644,BAJA,-17.784452,-63.164423,434.9,434.9,434.9,3821
-177844_-631762,BAJA,-17.784402,-63.176288,440.3,440.3,440.3,3822
-177844_-631765,BAJA,-17.784434,-63.176513,440.0,440.0,440.0,3823
-177844_-631767,BAJA,-17.784435,-63.176735,440.6,440.6,440.6,3824
-177844_-631770,BAJA,-17.78448,-63.177008,440.6,440.6,440.6,3825
-177845_-631719,BAJA,-17.784579,-63.171925,437.7,437.7,437.7,3826
-177845_-631720,BAJA,-17.784599,-63.172035,437.9,437.9,437.9,3827
-177846_-631584,BAJA,-17.784613,-63.158468,433.5,433.5,433.5,3828
-177846_-631947,BAJA,-17.784642,-63.194759,436.2,436.2,436.2,3829
-177846_-631949,BAJA,-17.7847,-63.194927,436.4,436.4,436.4,3830
-177847_-631945,BAJA,-17.784752,-63.19457,435.6,435.6,435.6,3831
-177847_-631947,BAJA,-17.78477,-63.194717,435.7,435.7,435.7,3832
-177847_-631949,BAJA,-17.784714,-63.194997,434.68,434.68,434.68,3833
-177847_-631954,BAJA,-17.784758,-63.195421,438.27,438.27,438.27,3834
-177848_-631710,BAJA,-17.784814,-63.171077,437.8,437.8,437.8,3835
-177848_-631941,BAJA,-17.784836,-63.194166,451.11,451.11,451.11,3836
-177848_-631945,BAJA,-17.784813,-63.194595,435.6,435.6,435.6,3837
-177848_-631949,BAJA,-17.784894,-63.194918,436.91,436.91,436.91,3838
-177848_-631953,BAJA,-17.784841,-63.195313,436.4,436.4,436.4,3839
-177848_-631957,BAJA,-17.784859,-63.195786,436.2,436.2,436.2,3840
-177848_-631988,BAJA,-17.784884,-63.19887,436.8,436.8,436.8,3841
-177848_-632048,BAJA,-17.784885,-63.20489,437.9,437.9,437.9,3842
-177849_-631706,BAJA,-17.78491,-63.170686,437.5,437.5,437.5,3843
-177849_-631720,BAJA,-17.784905,-63.172015,438.1,438.1,438.1,3844
-177849_-631954,BAJA,-17.784994,-63.195463,436.2,436.2,436.2,3845
-177849_-631955,BAJA,-17.784922,-63.195569,436.2,436.2,436.2,3846
-177849_-631956,BAJA,-17.784944,-63.195606,436.2,436.2,436.2,3847
-177849_-631981,BAJA,-17.784932,-63.198123,438.67,438.67,438.67,3848
-177850_-631702,BAJA,-17.785071,-63.170277,437.8,437.8,437.8,3849
-177850_-631707,BAJA,-17.785079,-63.170714,438.1,438.1,438.1,3850
-177850_-631721,BAJA,-17.785057,-63.172116,437.8,437.8,437.8,3851
-177850_-631948,BAJA,-17.785,-63.194835,435.6,435.6,435.6,3852
-177850_-632004,BAJA,-17.785021,-63.200411,434.23,434.23,434.23,3853
-177851_-631477,BAJA,-17.785111,-63.14777,430.2,430.2,430.2,3854
-177851_-631573,BAJA,-17.785188,-63.157384,433.7,433.7,433.7,3855
-177851_-631596,BAJA,-17.785149,-63.159607,433.4,433.4,433.4,3856
-177851_-631945,BAJA,-17.785116,-63.194593,437.9,437.9,437.9,3857
-177851_-631948,BAJA,-17.785161,-63.194837,436.77,436.72,436.82,3858
-177851_-631970,BAJA,-17.785187,-63.197068,436.4,436.4,436.4,3859
-177851_-632028,BAJA,-17.785141,-63.202891,433.97,433.97,433.97,3860
-177851_-632032,BAJA,-17.785154,-63.203284,431.96,431.96,431.96,3861
-177851_-632034,BAJA,-17.785165,-63.203457,433.26,433.26,433.26,3862
-177851_-632042,BAJA,-17.78517,-63.204231,435.73,435.41,436.04,3863
-177851_-632045,BAJA,-17.785192,-63.204533,438.0,438.0,438.0,3864
-177851_-632062,BAJA,-17.785145,-63.206259,431.22,431.22,431.22,3865
-177852_-631473,BAJA,-17.785299,-63.147341,430.3,430.3,430.3,3866
-177852_-631561,BAJA,-17.785271,-63.156164,437.9,437.9,437.9,3867
-177852_-631596,BAJA,-17.785252,-63.159631,433.2,433.2,433.2,3868
-177852_-631642,BAJA,-17.785229,-63.164263,435.2,435.2,435.2,3869
-177852_-631649,BAJA,-17.785217,-63.164982,435.1,435.1,435.1,3870
-177852_-631696,BAJA,-17.785201,-63.169613,437.5,437.5,437.5,3871
-177852_-631698,BAJA,-17.785254,-63.169874,437.3,437.3,437.3,3872
-177852_-631947,BAJA,-17.78528,-63.194728,436.4,436.4,436.4,3873
-177852_-632031,BAJA,-17.785234,-63.203117,437.0,437.0,437.0,3874
-177853_-631599,BAJA,-17.785377,-63.159998,433.4,433.4,433.4,3875
-177853_-631604,BAJA,-17.785372,-63.160432,433.4,433.4,433.4,3876
-177853_-631695,BAJA,-17.785391,-63.169535,438.1,438.1,438.1,3877
-177853_-631713,BAJA,-17.78537,-63.171376,437.8,437.8,437.8,3878
-177853_-631714,BAJA,-17.785393,-63.171486,438.1,438.1,438.1,3879
-177853_-631719,BAJA,-17.785343,-63.171976,438.1,438.1,438.1,3880
-177853_-632007,BAJA,-17.785369,-63.20078,437.1,437.1,437.1,3881
-177853_-632085,BAJA,-17.78537,-63.208514,436.4,436.4,436.4,3882
-177854_-631487,BAJA,-17.785477,-63.148703,431.6,431.6,431.6,3883
-177854_-631523,BAJA,-17.785467,-63.152357,432.0,432.0,432.0,3884
-177854_-631713,BAJA,-17.785431,-63.171399,438.0,438.0,438.0,3885
-177854_-631721,BAJA,-17.785431,-63.172107,438.0,438.0,438.0,3886
-177854_-631934,BAJA,-17.785454,-63.193438,435.6,435.6,435.6,3887
-177854_-631947,BAJA,-17.785434,-63.194769,436.4,436.4,436.4,3888
-177854_-631948,BAJA,-17.785434,-63.194886,436.16,436.16,436.16,3889
-177854_-632063,BAJA,-17.78543,-63.206345,445.7,445.7,445.7,3890
-177855_-631505,BAJA,-17.785554,-63.150552,431.8,431.8,431.8,3891
-177855_-631519,BAJA,-17.785583,-63.151978,432.0,432.0,432.0,3892
-177855_-631533,BAJA,-17.785506,-63.153311,434.0,432.4,435.6,3893
